what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647449511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647452631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647452782
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1352647454805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647463246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647467799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647473391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647776807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647778461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647779620
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352647779641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647780440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647781040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1352647781045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647782578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647783084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647783894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647785023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647787745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647794934
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352647796274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1352647819223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352647820602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352647822255
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1352647828703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647833455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647837688
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1352647838310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647839009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647839185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352647840304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352647849589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352647857688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647859095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647861740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647864408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352647871728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352647885906
